keyword,volume,cpc,comp,kd,intent,src,m_2025-08,m_2025-09,m_2025-10,m_2025-11,m_2025-12,m_2026-01,m_2026-02,m_2026-03,m_2026-04,m_2026-05,m_2026-06,m_2026-07,peak_month,peak_vol
slingshot rental mobile al,50,3.89,LOW,,transactional,sugg_slingshot_rental,40,70,50,30,30,70,90,70,50,40,50,50,2026-02,90
polaris slingshot rental louisville,50,,,,transactional,sugg_slingshot_rental,320,260,,,,,,10,10,,,,2025-08,320
slingshot rental sarasota,50,2.15,MEDIUM,,commercial,sugg_slingshot_rental,50,50,50,40,50,50,70,90,50,50,50,40,2026-03,90
slingshot rental tampa fl,50,2.66,HIGH,,transactional,sugg_slingshot_rental,30,30,30,30,20,20,30,90,70,50,70,50,2026-03,90
slingshot rental arlington tx,50,1.87,HIGH,5,transactional,sugg_slingshot_rental,50,30,20,10,10,10,10,30,30,90,170,90,2026-06,170
polaris slingshot rental dallas,50,1.21,LOW,,transactional,sugg_slingshot_rental,40,20,20,10,,10,10,50,20,20,210,210,2026-06,210
polaris slingshot rental miami,50,2.28,HIGH,2,transactional,sugg_slingshot_rental,50,30,30,50,50,40,50,90,40,70,20,40,2026-03,90
slingshot rental ocean city md,50,2.33,LOW,,transactional,sugg_slingshot_rental,110,50,20,10,10,10,10,30,50,70,140,90,2026-06,140
slingshot turo rental,40,0.08,LOW,,transactional,sugg_slingshot_rental,30,30,30,10,10,10,20,40,70,140,90,50,2026-05,140
slingshot car rental miami,40,1.13,HIGH,,transactional,sugg_slingshot_rental,70,40,30,30,30,40,40,50,40,40,40,30,2025-08,70
pcb slingshot rental,40,0.62,LOW,,transactional,sugg_slingshot_rental,30,40,10,10,10,10,20,70,50,70,50,70,2026-03,70
tampa slingshot rental,40,0.94,HIGH,,transactional,sugg_slingshot_rental,40,20,40,30,30,40,30,50,70,50,50,40,2026-04,70
4 seater slingshot rental myrtle beach,40,6.75,LOW,,transactional,sugg_slingshot_rental,50,30,10,10,10,10,10,70,70,90,70,90,2026-05,90
va beach slingshot rental,40,2.23,LOW,,transactional,sugg_slingshot_rental,10,10,10,10,10,10,10,10,10,30,260,170,2026-06,260
fort lauderdale slingshot rental,40,1.6,HIGH,,transactional,sugg_slingshot_rental,30,20,20,20,30,40,40,50,50,50,40,40,2026-03,50
slingshot rental biloxi ms,40,2.7,LOW,1,transactional,sugg_slingshot_rental,70,40,40,10,10,10,20,40,70,50,70,70,2025-08,70
slingshot rental denver,40,2.31,MEDIUM,,transactional,sugg_slingshot_rental,70,50,20,10,10,10,10,40,40,70,50,70,2025-08,70
slingshot rental mcdonough ga,40,2.38,LOW,1,transactional,sugg_slingshot_rental,40,40,30,10,10,10,20,50,90,70,90,50,2026-04,90
slingshot vegas rental,40,2.19,HIGH,3,transactional,sugg_slingshot_rental,40,50,40,20,30,30,20,50,50,30,30,30,2025-09,50
maggie valley slingshot rental,40,2.05,LOW,,commercial,sugg_slingshot_rental,50,50,50,10,20,10,10,30,50,50,70,50,2026-06,70
